Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_0x0x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,2.74629,2162.01,700732
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_0x0x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,2.74377,2163.99,701375
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x1x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,2.29153,2591.06,839793
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x1x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,2.29477,2587.41,838609
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x2x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,2,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,3.85159,1541.57,499642
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x2x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,2,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,3.85204,1541.39,499584
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x4x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,4,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,4.057,1463.52,474344
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x4x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,4,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,4.0544,1464.46,474648
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_4x4x1_0_nnn_align8_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,4,4,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,3.64535,1628.79,527909
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_4x4x1_0_nnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:column,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,4,4,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,3.64533,1628.8,527912
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_0x0x1_0_tnn_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,2.75073,2158.51,699600
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_0x0x1_0_tnn_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,2.75561,2154.7,698363
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_1x1x1_0_tnn_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x342x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168][4096x341x7168]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,6375342080,1924413784064,301,2.33114,2547.04,825525
