Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x16x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,16,64,1,1,1,1,1,1,21,4,1,1,64,16,16,100,110,3758096384,1030993477632,274,6.69039,523.138,154101
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x16x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,16,64,1,1,1,1,1,1,21,4,1,1,64,16,16,100,110,3758096384,1030993477632,274,6.68874,523.267,154139
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x16x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,16,64,1,1,1,1,1,1,22,4,1,1,64,16,16,100,110,3355443200,1030993477632,307,6.67955,467.846,154351
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x16x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,16,64,1,1,1,1,1,1,22,4,1,1,64,16,16,100,110,3355443200,1030993477632,307,6.68692,467.33,154181
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x32x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,32,64,1,1,1,1,1,1,17,4,1,1,64,32,16,100,110,3758096384,1030993477632,274,3.50839,997.608,293865
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x32x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,32,64,1,1,1,1,1,1,17,4,1,1,64,32,16,100,110,3758096384,1030993477632,274,3.50864,997.538,293844
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x32x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,32,64,1,1,1,1,1,1,18,4,1,1,64,32,16,100,110,3355443200,1030993477632,307,3.50374,891.903,294255
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x32x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,32,64,1,1,1,1,1,1,18,4,1,1,64,32,16,100,110,3355443200,1030993477632,307,3.50442,891.731,294198
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x64x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,64,64,1,1,1,1,1,1,12,4,1,1,64,64,16,100,110,3758096384,1030993477632,274,2.01687,1735.36,511184
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x64x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,64,64,1,1,1,1,1,1,12,4,1,1,64,64,16,100,110,3758096384,1030993477632,274,2.01682,1735.4,511197
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x64x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,64,64,1,1,1,1,1,1,13,4,1,1,64,64,16,100,110,3355443200,1030993477632,307,2.01501,1550.86,511657
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x64x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,64,64,1,1,1,1,1,1,13,4,1,1,64,64,16,100,110,3355443200,1030993477632,307,2.01441,1551.33,511810
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x342x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120][3072x341x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,3758096384,1030993477632,274,1.26287,2771.46,816387
