Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x16x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,16,64,1,1,1,1,1,1,21,4,1,1,64,16,16,100,110,4496293888,2061986955264,458,13.0763,320.236,157689
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x16x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,16,64,1,1,1,1,1,1,21,4,1,1,64,16,16,100,110,4496293888,2061986955264,458,13.0779,320.196,157669
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x16x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,16,64,1,1,1,1,1,1,22,4,1,1,64,16,16,100,110,3690987520,2061986955264,558,13.0625,263.158,157855
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x16x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,16,64,1,1,1,1,1,1,22,4,1,1,64,16,16,100,110,3690987520,2061986955264,558,13.0637,263.133,157841
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x32x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,32,64,1,1,1,1,1,1,17,4,1,1,64,32,16,100,110,4496293888,2061986955264,458,7.00829,597.506,294221
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x32x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,32,64,1,1,1,1,1,1,17,4,1,1,64,32,16,100,110,4496293888,2061986955264,458,7.00835,597.501,294219
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x32x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,32,64,1,1,1,1,1,1,18,4,1,1,64,32,16,100,110,3690987520,2061986955264,558,6.999,491.141,294612
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x32x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,32,64,1,1,1,1,1,1,18,4,1,1,64,32,16,100,110,3690987520,2061986955264,558,6.99921,491.127,294603
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x64x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,64,64,1,1,1,1,1,1,12,4,1,1,64,64,16,100,110,4496293888,2061986955264,458,3.69804,1132.36,557590
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x64x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,64,64,1,1,1,1,1,1,12,4,1,1,64,64,16,100,110,4496293888,2061986955264,458,3.69863,1132.18,557500
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x64x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,64,64,1,1,1,1,1,1,13,4,1,1,64,64,16,100,110,3690987520,2061986955264,558,3.69405,930.55,558191
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_64x64x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,64,64,1,1,1,1,1,1,13,4,1,1,64,64,16,100,110,3690987520,2061986955264,558,3.69411,930.534,558182
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x683x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120][3072x682x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,4496293888,2061986955264,458,2.61021,1604.28,789969
